product_id,sku,add_category_ids,segment,name,note
558,DMS-SWP-008,,swimming-pool,Dolphin S100 Wired Pool Cleaning Robot,
560,DMS-SWP-009,,swimming-pool,Electric mixer,
562,DMS-SWP-010,,swimming-pool,Electric mixer,
564,DMS-SWP-011,,swimming-pool,Electric mixer,
566,DMS-SWP-012,,swimming-pool,Electric mixer,
568,DMS-SWP-013,,swimming-pool,Flat open type ladder (AISI 316,
570,DMS-SWP-014,,swimming-pool,Flat open type ladder (AISI 316,
572,DMS-SWP-015,,swimming-pool,Foam Fountain Head,
574,DMS-SWP-016,,swimming-pool,Heat pump for cooling and heating large swimming pools 105KW up to 1050m3,
576,DMS-SWP-017,,swimming-pool,Heat pump for cooling and heating large swimming pools 120KW up to 1200m3,
578,DMS-SWP-018,,swimming-pool,Heat pump for cooling and heating large swimming pools 130KW up to 1300m3,
580,DMS-SWP-019,,swimming-pool,Heat pump for cooling and heating large swimming pools 85KW up to 850m3,
582,DMS-SWP-020,,swimming-pool,Heat pump for cooling and heating swimming pools and jacuzzi 10KW up to Inverter + WiFi 10m3,
584,DMS-SWP-021,,swimming-pool,Heat pump for cooling and heating swimming pools and jacuzzi 14KW up to Inverter + WiFi 20m3,
586,DMS-SWP-022,,swimming-pool,Heat pump for cooling and heating swimming pools and jacuzzi 26KW up to 60m3 Inverter + WiFi,
588,DMS-SWP-023,,swimming-pool,Heat pump for cooling and heating swimming pools and jacuzzi 40KW up to 100m3 Inverter + WiFi,
590,DMS-SWP-024,,swimming-pool,Heat pump for cooling and heating swimming pools and jacuzzi 55KW up to 180m3,
592,DMS-SWP-025,,swimming-pool,Heat pump for cooling and heating swimming pools and jacuzzi 65KW up to 200m3,
594,DMS-SWP-026,,swimming-pool,Heat pump for heating and cooling swimming pool and jacuzzi water,
596,DMS-SWP-027,,swimming-pool,Heat pump for heating and cooling swimming pool and jacuzzi water,
598,DMS-SWP-028,,swimming-pool,Heat pump for heating and cooling swimming pool and jacuzzi water 240M,
600,DMS-SWP-029,,swimming-pool,Heat pump for heating and cooling swimming pool and jacuzzi water 360M,
602,DMS-SWP-030,,swimming-pool,Heat pump for heating and cooling swimming pool and jacuzzi water 450M,
604,DMS-SWP-031,,swimming-pool,Heat pump for heating and cooling swimming pool and jacuzzi water 650M,
606,DMS-SWP-032,,swimming-pool,LED Fountain Spotlight,
608,DMS-SWP-033,,swimming-pool,LED Fountain Spotlight,
610,DMS-SWP-034,,swimming-pool,LED pool splash light,
612,DMS-SWP-035,,swimming-pool,LED pool splash light,
614,DMS-SWP-036,,swimming-pool,LED pool spotlight,
616,DMS-SWP-037,,swimming-pool,Moving foam fountain head,
618,DMS-SWP-038,,swimming-pool,Multi-function pool filter valve,
620,DMS-SWP-039,,swimming-pool,Multi-function pool filter valve,
622,DMS-SWP-040,,swimming-pool,Pool Pump,
624,DMS-SWP-041,,swimming-pool,Pool Pump,
626,DMS-SWP-042,,swimming-pool,PVC Flange Pre-Filters (strainer,
628,DMS-SWP-043,,swimming-pool,PVC Flange Pre-Filters (strainer,
630,DMS-SWP-044,,swimming-pool,PVC Flange Pre-Filters (strainer,
632,DMS-SWP-045,,swimming-pool,Sand Pool Filter,
634,DMS-SWP-046,,swimming-pool,Sand Pool Filter,
636,DMS-SWP-047,,swimming-pool,Self-controlled chemical system for swimming pools,
638,DMS-SWP-048,,swimming-pool,Smart pool cleaning robot ensures clean water without effort,
639,DMS-SWP-049,,swimming-pool,Square floor suction grid,
641,DMS-SWP-050,,swimming-pool,Stainless Nozzle,
643,DMS-SWP-051,,swimming-pool,Stainless Nozzle,
645,DMS-SWP-052,,swimming-pool,Stainless Nozzle,
647,DMS-SWP-053,,swimming-pool,Stainless Nozzle,
649,DMS-SWP-054,,swimming-pool,Stainless Nozzle,
651,DMS-SWP-055,,swimming-pool,Stainless Nozzle,
653,DMS-SWP-056,,swimming-pool,Umbrella Fountain Head,
655,DMS-SWP-057,,swimming-pool,Water curtain waterfall inside a stone decor,
657,DMS-SWP-058,,swimming-pool,Waterfall in the form of a water line,
659,DMS-SWP-059,,swimming-pool,Waterfall in the form of a water line falling from the wall,
512,DMS-VBX-001,,valve-boxes-fittings,Valve Box 10″,
513,DMS-VBX-002,,valve-boxes-fittings,Valve Box 10″ Pro,
514,DMS-VBX-003,,valve-boxes-fittings,Valve Box 12″,
515,DMS-VBX-004,,valve-boxes-fittings,Valve Box 12″ Pro,
516,DMS-VBX-005,,valve-boxes-fittings,Valve Box 20″,
517,DMS-VBX-006,,valve-boxes-fittings,Valve Box 20″ Pro,
518,DMS-VBX-007,,valve-boxes-fittings,Valve Box 24″,
519,DMS-VBX-008,,valve-boxes-fittings,Valve Box 24″ Pro,
511,DMS-VBX-009,,valve-boxes-fittings,Valve Box 6″,
